nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
 DARCI POMPEO DE MATTOS,M,89,1,2,65,43,11, 12/07/1958,"357.499,67","41.231,74","59.462,92","49.369,15","33.109,82","73.003,33","28.978,11","25.956,45","17.821,83","16.082,73","11.921,59","562,00",0,"1.111.211,14","111.204,69","111.204,69","110.681,07","110.983,29","111.198,62","111.016,67","111.016,67","111.100,61","111.392,73","111.412,10",0,0,"33.763,00",
 RAFAEL HUETE DA MOTTA,M,80,7,5,27,21,4, 15/08/1986,"250.565,76","22.061,25","20.987,07","32.044,73","47.323,12","38.481,01","19.788,15","28.425,17","12.569,51","12.585,75","16.300,00","0,00",0,"1.116.110,63","111.611,09","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06",0,0,"33.763,00",
 RAUL JEAN LOUIS HENRY JÚNIOR,M,86,0,6,36,21,6, 06/06/1964,"274.939,11","38.165,25","27.107,83","30.472,86","39.228,39","44.657,47","34.719,45","33.058,24","17.205,35","5.575,16","3.910,59","838,52",0,"1.116.110,40","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04",0,0,"33.763,00",
 REGINALDO LÁZARO DE OLIVEIRA LOPES,M,77,0,15,4,55,5, 02/04/1973,"284.727,53","22.866,69","27.219,10","59.587,46","50.048,57","49.989,97","35.479,55","19.697,60","15.557,40","2.851,16","1.377,71","52,32",0,"1.095.155,55","108.026,25","109.022,78","111.193,01","111.289,68","111.289,68","111.083,64","105.108,61","107.364,31","111.138,02","109.639,57",0,0,"33.763,00",
 RENILDO VASCONCELOS CALHEIROS,M,74,0,18,5,50,14, 20/04/1959,"275.747,56","25.389,44","28.887,96","30.867,82","32.538,33","33.726,63","37.650,53","30.620,56","25.957,77","19.988,78","9.301,73","818,01",0,"1.099.568,37","110.852,80","110.852,80","109.867,21","107.453,52","108.361,91","110.816,41","110.388,48","110.325,08","110.325,08","110.325,08",0,0,"33.763,00",
 RICARDO CORREA DE BARROS,M,82,2,8,16,8,3, 27/10/1959,"239.740,45","34.114,07","31.898,49","33.217,15","47.538,24","47.361,51","22.483,72","14.839,35","3.821,91","2.615,91","1.320,06","530,04",0,"1.112.052,43","111.449,81","111.363,00","111.585,60","110.962,81","111.421,42","111.065,11","110.412,97","111.435,17","110.878,73","111.477,81",0,0,"33.763,00",
 RICARDO ZANATTA GUIDI,M,92,0,0,27,11,2, 28/09/1977,"209.156,02","20.891,82","27.553,59","25.787,02","36.603,04","34.612,26","34.669,08","20.256,07","1.117,85","371,85","6.749,48","543,96",0,"1.115.695,05","111.665,83","111.665,83","111.665,83","110.702,58","111.665,83","111.665,83","111.665,83","111.665,83","111.665,83","111.665,83",0,0,"33.763,00",
 RICARDO JOSÉ MAGALHÃES BARROS,M,85,0,7,27,12,4, 15/11/1959,"286.887,69","30.337,94","29.984,02","32.699,54","38.325,55","31.338,43","31.141,41","40.542,02","28.929,56","8.765,20","14.824,02","0,00",0,"1.066.238,10","110.792,29","109.833,02","109.637,04","109.134,10","106.128,07","104.534,79","103.324,87","103.658,88","103.658,88","105.536,16",0,0,"33.763,00",
 RICARDO IZAR JUNIOR,M,82,8,2,10,9,1, 01/08/1968,"318.098,30","21.993,12","26.040,58","36.284,07","34.496,42","82.039,32","25.193,31","14.757,52","10.691,35","11.857,99","54.744,62","0,00",0,"1.115.705,86","111.574,72","111.565,62","111.631,28","111.653,59","111.355,92","111.556,47","111.563,15","111.599,55","111.580,77","111.624,79",0,0,"33.763,00",
 FRANCISCO EURICO DA SILVA,M,85,4,3,36,2,2, 12/09/1962,"339.026,20","14.408,85","34.580,27","33.487,40","61.812,66","34.367,09","44.384,17","39.009,40","33.133,99","26.233,24","17.555,06","54,07",0,"1.109.317,17","111.617,15","111.617,14","111.617,12","111.617,12","111.617,12","111.160,97","110.300,06","109.687,41","110.073,19","110.009,89",0,0,"33.763,00",
 JOÃO CARLOS SIQUEIRA,M,89,3,0,104,16,0, 28/02/1967,"326.214,09","18.732,03","37.477,94","34.833,52","44.831,86","54.192,78","54.866,82","25.266,73","20.811,94","30.550,84","4.649,63","0,00",0,"1.115.363,54","111.635,71","111.635,71","111.635,71","111.621,16","111.599,34","111.599,34","111.599,34","110.786,91","111.599,34","111.650,98",0,0,"33.763,00",
 GILDENEMIR DE LIMA SOUSA,M,74,14,4,12,18,3, 08/11/1971,"312.619,95","21.687,15","23.939,17","27.502,58","30.200,89","41.443,63","96.284,55","18.286,41","23.625,66","19.840,25","9.809,66","0,00",0,"1.111.841,14","111.416,98","111.416,98","111.416,98","111.416,98","111.211,51","111.113,67","111.113,67","109.524,41","111.604,98","111.604,98",0,0,"33.763,00",
 MARCO ANTÔNIO FELICIANO,M,85,0,7,38,6,6, 12/10/1972,"230.636,69","16.409,30","13.151,81","24.167,42","22.449,14","40.447,31","43.250,46","33.839,75","21.664,84","14.490,61","766,05","0,00",0,"1.100.514,06","111.368,34","104.360,16","111.368,34","110.321,79","111.368,34","109.798,51","107.823,56","111.368,34","111.368,34","111.368,34",0,0,"33.763,00",1
 PAULO FERNANDO DOS SANTOS,M,73,0,19,6,5,8, 15/09/1957,"222.771,27","17.870,27","16.725,90","32.875,97","39.024,79","33.319,95","22.766,87","23.531,76","13.785,48","14.270,34","8.103,75","496,19",0,"1.115.302,39","111.659,67","111.659,67","111.659,67","111.659,67","111.659,67","110.842,80","111.182,23","111.659,67","111.659,67","111.659,67",0,0,"33.763,00",
 MANOEL ISIDORIO DE SANTANA JUNIOR,M,89,0,3,28,21,4, 28/07/1962,"122.097,39","18.985,98","7.305,20","24.819,70","17.539,09","17.263,62","14.958,11","9.351,19","6.767,24","5.107,26","0,00","0,00",0,"1.099.891,43","107.571,53","110.759,99","109.535,10","109.059,48","111.629,57","111.629,57","110.968,20","109.579,33","109.579,33","109.579,33",0,0,"33.763,00",
 PATRUS ANANIAS DE SOUZA,M,78,9,5,42,5,5, 26/01/1952,"332.131,93","24.018,54","39.827,35","54.717,60","54.875,05","42.393,82","34.520,85","28.314,93","23.534,46","12.411,86","17.114,60","402,87",0,"1.114.717,90","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79",0,0,"33.763,00",
